pid,product_type_id,name,url,origin,thickness,material,weave,weave_feature,color,brand,imageName,imageType,internalName,category,min_price,max_price,availability,aggregate,clearance,long_description,shopbyroom,dw_insert_timestamp
200BIRV44A,RUG,Francesca Timeworn Charm Washable,/rugsusa/rugs/rugs-usa-francesca-timeworn-charm-washable/Gray/200BIRV44A-P.html,China,1/4 inch,100% Polyester,,Machine Made,Gray,Rugs USA,200BIRV44A,s,rugs-usa-francesca-timeworn-charm-washable,Rain Haven,0,0,48 Hours,True,N,"Rugs are at the heart of your home, where all the action happens. The occasional ""oops"" is a fact of life; and lucky for all of us, cleaning our rugs just got much easier. Say hello to the <b>Rugs USA Washable Rugs Collection</b>!<br /><b>One-piece design:</b> Our washable rugs have an integrated non-slip backing, which eliminates the hassle of needing a separate backing layer. When your rug arrives, simply lay it flat in the desired space.<br /><b>Innovative construction:</b> Made from sustainably-sourced premium synthetic fibers, our machine-washable rugs help you feel good with every step.<br /><b>Hard-wearing:</b> Spill- and stain-resistant, these rugs are perfect for those with kids and pets and will hold up in high traffic areas of your home.<br /><b>Add a rug pad:</b> Want a plusher feel underfoot? Simply layer a Rugs USA rug pad underneath the rug for extra cushioning.<br /><b>Launders easily:</b> To clean, machine wash with cold water. Do not use bleach. We recommend line drying or drying without heat on an air-only dryer cycle. A low heat iron can be used if needed.","Bedroom, Dining Room, Living Room, Hallway, Office, Kitchen, Bathroom, Entryway, Nursery / Kids Room",2022-01-13 19:33:41.513542
200JLSR04A,RUG,Textured Graphyte With Tassels,/rugsusa/rugs/rugs-usa-textured-graphyte-with-tassels/Black/200JLSR04A-P.html,India,1/2 inch,"41% Wool, 39% Cotton, 10% Nylon, 8% Polyester, 2% Other",,Hand Woven,Black,Rugs USA,200JLSR04A,osNew/roomImage,rugs-usa-textured-graphyte-with-tassels,Sovereign,0,0,48 Hours,True,N,"Add a dash of a contemporary look when you bring out this floor covering, sure to make a fashionable statement to any space. Sturdy enough to stand the test of time, this area rug elevates the ambiance of any room it is placed in. Place this area rug at the foot of the bed to make your first steps of the day extra comforting, or anywhere in the home that could use a graceful touch. This regal rug will be the perfect finishing touch for your space. Opt for the best choice with our pet-friendly and easy to clean area rugs.","Bedroom, Dining Room, Living Room, Hallway, Kitchen",2022-01-13 19:33:41.513542
200ECRK29A,RUG,Freya Abstract Eclipse,/rugsusa/rugs/rugs-usa-freya-abstract-eclipse/Gray/200ECRK29A-P.html,Turkey,1/2 inch,100% Polypropylene,,Machine Made,Gray,Rugs USA,200ECRK29A,s,rugs-usa-freya-abstract-eclipse,Koko,0,0,48 Hours,True,N,"When playful shapes and bold appearances come together, it's bound to be a show-stopper. This floor covering features a unique eclipse pattern, illuminating your space as bright as the moon. It's crafted of 100% polypropylene, promising longevity for years to come with a low-maintenance appeal. Dashing stripes at the border add just the right amount of flair. Kick up those feet today with our pet-friendly and easy to clean area rugs.","Bedroom, Dining Room, Living Room, Hallway, Kitchen",2022-01-13 19:33:41.513542
200MKCL11A,RUG,Printed Floral Flatweave,/rugsusa/rugs/rugs-usa-printed-floral-flatweave/Rust/200MKCL11A-P.html,Turkey,1/4 inch,"74% Polyester, 20% Cotton, 6% Viscose",,Machine Woven,Rust,Rugs USA,200MKCL11A,roomImage,rugs-usa-printed-floral-flatweave,Basili,0,0,48 Hours,True,N,"This stunning piece is flatwoven and intentionally distressed to mimic a piece that has been worn through the ages. This is an integral part of the design, ready for memories to be made around the rug. A lavish floral design will combine each element in your space perfectly, while a wide range of colorways allows your space to be customized. Begin your relaxation session with our pet-friendly and easy to clean area rugs.","Bedroom, Dining Room, Living Room, Hallway, Kitchen",2022-01-13 19:33:41.513542
200GBCB34A,RUG,Striped Banded Indoor/Outdoor,/rugsusa/rugs/rugs-usa-striped-banded-indooroutdoor/Black/200GBCB34A-P.html,India,1/2 inch,"90% Polypropylene, 10% Polyester",,Machine Made,Navy,Rugs USA,200GBCB34A,roomImage,rugs-usa-striped-banded-indooroutdoor,Tucana,0,0,48 Hours,True,N,"Hello, transitional rugs! Add an invigorating flair with the crisp linework of this area rug. Detailed banded stripes create a dashing, finished ambiance in your home, while a synthetic fabrication adds durability for years to come. Machine-made in India, this sophisticated floor piece can seamlessly integrate with any existing decor. Indoor or outdoor, this area rug will take your breath away! Make the most of your time at home with our pet-friendly and easy to clean area rugs.","Bedroom, Dining Room, Living Room, Patio / Outdoor, Hallway, Office, Kitchen, Bathroom, Entryway",2022-01-13 19:33:41.513542
200SVBW01A,RUG,Leslie Jute Braided,/rugsusa/rugs/rugs-usa-leslie-jute-braided/Natural/200SVBW01A-P.html,India,1/2 inch,"75% Jute, 25% Cotton",,Braided,Natural,Rugs USA,200SVBW01A,roomImage,rugs-usa-leslie-jute-braided,Maui,0,0,48 Hours,True,N,"Create a chic accent in your living space with this sophisticated jute rug. Pairing a unqiue design with neutral two-tone hues, this jute and cotton rug is the perfect addition to casual, nautical, and farmhouse interiors in need of a twist. Handwoven construction promises a luxuriously soft texture underfoot. Make the most of your time at home with our easy to clean area rugs.","Bedroom, Dining Room, Living Room, Hallway, Kitchen",2022-01-13 19:33:41.513542
200KKCB06A,RUG,Speckled Medallion,/rugsusa/rugs/rugs-usa-speckled-medallion/Blue/200KKCB06A-P.html,Turkey,1/2 inch,100% Polypropylene,,Machine Made,Blue,Rugs USA,200KKCB06A,osNew/roomImage,rugs-usa-speckled-medallion,Chroma,0,0,48 Hours,True,Y,"With a nod to traditional Persian rug design elements, this rug boasts a striking medallion motif that anchors any room. The speckled details are a delightful finishing touch that’s sure to wow both you and your guests. Its powerloomed construction stands up to high foot traffic in entryways, hallways, and family rooms. This cozy area rug lends a low-maintenance appeal to any surroundings. Comes in a wide selection of sizes. Elevate your living space with our pet-friendly and easy to clean rugs. ","Bedroom, Dining Room, Living Room, Hallway, Office, Kitchen, Entryway",2022-01-13 19:33:41.513542
200RFEK02A,RUG,Cotton Solid Marble,/rugsusa/rugs/rugs-usa-cotton-solid-marble/Ivory/200RFEK02A-P.html,India,1 inch,100% Cotton,,Machine Made,Ivory,Rugs USA,200RFEK02A,osNew/roomImage,rugs-usa-cotton-solid-marble,Husky Shag,0,0,48 Hours,True,Y,"It doesn't get more classic than this: a dreamy shag rug. This is the perfect floor covering for life's softest moments. Place this durable synthetic rug at the foot of the bed to make your first steps of the day extra luxurious, or anywhere in the home that could use a graceful touch. The exquisite pattern creates the perfect depth and dimension in your space, allowing you and your loved ones to sit back and relax. What are you waiting for? Kick back and start enjoying our easy to clean and pet-friendly rugs.",,2022-01-13 19:33:41.513542
200ECRK07A,RUG,Modern Stripes,/rugsusa/rugs/rugs-usa-modern-stripes/Gray/200ECRK07A-P.html,Turkey,1/4 inch,100% Polypropylene,,Machine Made,Gray,Rugs USA,200ECRK07A,roomImage,rugs-usa-modern-stripes,Koko,0,0,48 Hours,True,N,"Accessorize your living area with this intricate area rug to give your living space a warm appeal. Ideal for adding a dash of modern flair to your space, this carpet features a creative array of stripes, while adding depth and dimension to its surroundings. Go for something unique and striking while offering a luxuriously soft texture underfoot. Choose from our wide assortment and elevate your living space with our pet-friendly and easy to clean rugs. ","Bedroom, Dining Room, Living Room, Hallway, Kitchen",2022-01-13 19:33:41.513542
200GCAF02A,RUG,Julianna Persian Paneled,/rugsusa/rugs/rugs-usa-julianna-persian-paneled/Red/200GCAF02A-P.html,Turkey,1/2 inch,100% Polypropylene,,Machine Made,Red,Rugs USA,200GCAF02A,roomImage,rugs-usa-julianna-persian-paneled,Beloved,0,0,48 Hours,True,N,"Let the dramatic, romantic red hues of this paneled design sweep you away! Featuring a distinct pattern inspired by the Persian designs, this floor piece is bound to become the statement piece in any room. A color choice this unique knows no limits in what it can be paired with. With a design this powerful, your decor is guaranteed to embody nothing but love.","Bedroom, Dining Room, Living Room, Hallway, Kitchen",2022-01-13 19:33:41.513542
200ZF04,RUG,Kylie Wool-Blend Zebra,/rugsusa/rugs/rugs-usa-kylie-wool-blend-zebra/Tan/200ZF04-P.html,India,1/2 inch,"60% Viscose, 40% Wool",,Hand Tufted,Gray,Rugs USA,200ZF04,osNew/roomImage,rugs-usa-kylie-wool-blend-zebra,Safari,0,0,48 Hours,True,N,"The Rugs USA Safari Contemporary Zebra Print with Faux Silk Highlights Rug offers the exotic look of zebra print in a rug that is both casual and sophisticated. Soft lines mimicking a zebra’s hide flow over the surface of the rug, bringing a jungle feel to any home decor. The faux silk highlights give this rug a slight shimmer and sheen, while the hand-tufted wool offers rich quality and elegance. The entire look comes together as edgy yet refined, resulting in a modern look that can also fit in traditional design schemes. This rug is available in Navy Blue, Black, Grey, Ice Blue, Brown, and Royal Blue. Choose from our wide selection of sizes and enjoy your time at home today with our pet-friendly and easy to clean area rugs. ","Bedroom, Dining Room, Living Room, Hallway, Office, Kitchen, Nursery / Kids Room",2022-01-13 19:33:41.513542
200BDTP05A,RUG,Faded Octopus,/rugsusa/rugs/rugs-usa-faded-octopus/Silver/200BDTP05A-P.html,Turkey,1/2 inch,100% Polypropylene,,Machine Made,Gray,Rugs USA,200BDTP05A,roomImage,rugs-usa-faded-octopus,Thomas Paul,0,0,48 Hours,True,N,"Let the one-of-a-kind look of this floor piece elevate your home! Crafted of luxurious synthetic fibers, it features an octopus pattern in a versatile color scheme. Nautical elements add just the right amount flair, while its texture feels like the bliss of the ocean. Pair with coastal, bohemian, or contemporary decor. This area rug comes in a wide range of colors and sizes. Enjoy our stunning pet-friendly and easy to clean area rugs today.","Bedroom, Dining Room, Living Room, Hallway, Office, Kitchen, Entryway",2022-01-13 19:33:41.513542
